,mic,chi2,att
132,0.020831033239256502,0.7603640040444892,unintentional
133,0.008542118637696383,0.7603640040444892,shortage
134,0.0,0.7603640040444892,dampen
135,0.0,0.7603640040444892,erosion
136,0.0004959162739912593,0.7603640040444892,unexpected
137,0.004587030813888671,0.6736674339722768,slowdown
138,0.0,0.6736674339722768,lack
139,0.0,0.575578437278145,weak
140,0.012193961368068607,0.5396089027171223,downgrade
141,0.0,0.11887186354868078,downturn
142,0.000979320019883545,0.07552357851257452,default
143,0.004891074139517393,0.03776178925628726,drought
144,0.0,0.03776178925628726,burden
145,0.01715495255030297,0.03776178925628726,serious
146,0.0053454638727690185,0.03776178925628726,unemployment
147,0.0077944827568545705,,downsize
148,0.01918967904476765,,disrupt
149,0.016507135679233897,14.392924602235531,anticipate
150,0.0,10.57588995553278,maybe
